feature,importance_gain
current_status_code,737520.7290624082
credit_score_ordinal,235571.14191683
ltv_ordinal,89869.54086931609
dti_ordinal,59234.256385560024
is_currently_delinquent,27498.00976872429
orig_year,26793.31200400298
loan_age_months,26654.90885474902
days_past_due,17599.894392361526
credit_score_is_missing,15565.497662991285
state_freq,11301.494072675705
interest_rate_imputed,9050.252833843231
original_balance,8727.658242940903
current_balance,6779.3368437570625
seasoning_ratio,6142.858855962753
rate_to_market_spread,5022.88408946991
balance_to_orig_ratio,4408.883005619726
dpd_roll_mean_6m,3834.307114220318
balance_change_1m_pct,3200.0961887836456
remaining_term_months,2742.4518583654026
dpd_roll_max_6m,2365.842686960881
balance_change_3m_pct,2340.939472436905
loan_purpose_freq,2146.7021605968475
servicer_name_freq,2083.7129306793213
property_type_freq,2015.1416969299316
document_status_freq,1901.6964484453201
dpd_roll_max_3m,1869.4048194885254
is_legacy_vintage,848.037719358279
interest_rate_is_missing,779.638222694397
occupancy_type_freq,755.6890964508057
ever_delinquent_past,409.0624008178711
source_system_freq,222.49400329589844
modification_flag,194.52601718902588
